geom,hblock,streetuse,geo_point_2d
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.09031634621002, 49.275241530082496], [-123.08925497788849, 49.2751464661153], [-123.0892005408452, 49.27514125496301], [-123.08914624018907, 49.275135432007126], [-123.08909211714926, 49.27512898822083], [-123.08903817172778, 49.2751219236044], [-123.08898441767434, 49.27511423814748], [-123.08893088251885, 49.27510594981951], [-123.08887756624699, 49.27509704962564], [-123.08882451010399, 49.27508753753445], [-123.08877170036, 49.27507742255203], [-123.08871917827632, 49.27506671364224], [-123.0886669575702, 49.27505539280454], [-123.08861503829169, 49.27504348702488], [-123.08856343417408, 49.27503098729794], [-123.08851218647841, 49.27501790258771], [-123.08846128145848, 49.27500423290522], [-123.08841076037515, 49.2749899872145], [-123.08836062321379, 49.274975156520874], [-123.08831089751952, 49.274959767789376], [-123.08826158326157, 49.27494380303016], [-123.08825553067201, 49.27494180172647], [-123.08743771575028, 49.27466882585049]], 'type': 'LineString'}, 'properties': {}}",600-700 MALKIN AV,Residential,"{'lon': -123.08886052951769, 'lat': 49.275035113598165}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.03099921109455, 49.267091299012975], [-123.03101071743129, 49.26663275667098]], 'type': 'LineString'}, 'properties': {}}",1900 CASSIAR ST,Residential,"{'lon': -123.03100496426293, 'lat': 49.26686202784198}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04503585938177, 49.26476426364023], [-123.04427576263052, 49.26476253349056]], 'type': 'LineString'}, 'properties': {}}",2800 E 6TH AV,Residential,"{'lon': -123.04465581100615, 'lat': 49.26476339856539}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.05659807739934, 49.263876272212926], [-123.05659922254496, 49.26317102963009]], 'type': 'LineString'}, 'properties': {}}",2300 NANAIMO ST,Arterial,"{'lon': -123.05659864997214, 'lat': 49.263523650921506}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.18217627624993, 49.227455907169066], [-123.1854900407571, 49.227479067755766]], 'type': 'LineString'}, 'properties': {}}",3500 W 49TH AV,Residential,"{'lon': -123.18383315850352, 'lat': 49.22746748746242}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.13435490021419, 49.249339440641585], [-123.13668633894855, 49.24937627584376]], 'type': 'LineString'}, 'properties': {}}",1300 W KING EDWARD AV,Arterial,"{'lon': -123.13552061958138, 'lat': 49.249357858242675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.04891530805116, 49.25065717527873], [-123.0470894679645, 49.25064107684092]], 'type': 'LineString'}, 'properties': {}}",2700 E 22ND AV,Collector,"{'lon': -123.04800238800782, 'lat': 49.25064912605983}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11386626189763, 49.28530727026367], [-123.1148572378609, 49.28594992104967]], 'type': 'LineString'}, 'properties': {}}",700 W HASTINGS ST,Arterial,"{'lon': -123.11436174987927, 'lat': 49.285628595656675}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12697974111131, 49.286004744593455], [-123.12790921890573, 49.28660658486646]], 'type': 'LineString'}, 'properties': {}}",1200 ROBSON ST,Arterial,"{'lon': -123.12744448000852, 'lat': 49.28630566472996}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.12961506256866, 49.28631908736505], [-123.13099176089084, 49.28721034165037]], 'type': 'LineString'}, 'properties': {}}",1300 HARO ST,Residential,"{'lon': -123.13030341172977, 'lat': 49.28676471450771}"
